Category,Query,nct_id,title,status,phase,brief_summary,conditions
cell senescence,senescence longevity,NCT05394389,The Complementary Contributions of Sensory Stimulation and Social Support During Snoezelen Room Therapy on the General Physical and Emotional Health of the Elderly Population: Optimization of the Nursing Home Resources.,UNKNOWN,,"Over time, lifespan is extending, the population is aging, and accordingly there is a great demand for hospital beds in nursing homes, increasing attention to this population and the services they receive. Mostly, elderly population living in nursing homes suffers from dementia, Alzheimer, depression, agitation, and other diseases that require multidisciplinary treatment.

In addition to the medical and pharmacological treatments that patients receive to maintain functional medical status, there is a great need for non-pharmacological treatments, that may improve quality of life, mental well-being, and life satisfaction.

There are several treatment approaches of multisensory stimulation environment (MSSE). MSSE in the Snoezelen room therapy recognized as benefiting the patients' physical, mental, and emotional health status. In addition, there is great importance of intervention by social interaction, support, and encouragement.

However, the effect of combined intervention of MSSE in Snoezelen room therapy and social support, has not yet been sufficiently studied in elderly patients in nursing homes. These two interventions - together - are supposed to have an increased effect on physical and mental wellbeing of elderly.","Loneliness, Aging"
metabolism,metabolism aging,NCT02950441,Nicotinamide Adenine Dinucleotide and Skeletal Muscle Metabolic Phenotype,UNKNOWN,PHASE2,"This study is designed to assess the physiological consequences of elevating Nicotinamide Adenine Dinucleotide (NAD+) availability using Nicotinamide Riboside (NR) supplementation in skeletal muscle tissue, and examine its effect upon muscle metabolic phenotype.",Aging
metabolism,metabolism aging,NCT07030738,Plant vs Animal-based Protein Sources as an Anabolic and Metabolic-protective Options for SO in Older Adults,NOT_YET_RECRUITING,,"This study is testing how different types of protein - from red meat, legumes (like lentils and beans), or a mix of both - affect muscle strength, body composition, and metabolic health in older adults with obesity who are also at risk for sarcopenia (loss of muscle mass and function). Participants will follow a personalized weight loss diet with one high-protein meal each day that includes either red meat, legumes, or both, along with a home-based strength training program. The study will last three months and will include health assessments such as blood tests, muscle and fat measurements, and physical function tests. The goal is to find out which type of protein source is most helpful for improving strength, reducing body fat, and supporting healthy aging.","Sarcopenic Obesity, Obesity and Obesity-related Medical Conditions, Obesity (Body Mass Index &gt;30 kg/m2), Sarcopenia, Muscle Loss, Aging"
metabolism,metabolism aging,NCT01123421,Develop and Validate Ultrasonic Device for Osteoporotic Fracture Risk Assessment,COMPLETED,,Study to demonstrate that the Bone UltraSonic Scanner (BUSS) can aid in detection of osteoporosis and predict prevalent osteoporotic fractures. Measurements derived from the BUSS parameters will be able to discriminate between postmenopausal women with osteoporotic fractures when compared to matched controls without history of osteoporotic fracture.,"Osteoporosis, Fracture, Aging"
metabolism,metabolism aging,NCT04106882,Dynamic Connectivity Under Metabolic Constraints,UNKNOWN,PHASE4,"The investigators are studying the impact of insulin resistance on the acceleration of brain aging and testing whether increased neuron insulin resistance can be counteracted by utilization of alternate metabolic pathways (e.g., ketones rather than glucose). This study has three Arms, which together provide synergistic data. For all three Arms, subjects are tested in a within-subjects design that consists of 2-3 testing sessions, 1-14 days apart, and counter-balanced for order. Impact of fuel (glucose in one session, ketones in the other) on brain metabolism and associated functioning is measured during each session. For Arms 1-2, the primary experimental measure is functional magnetic resonance imaging (fMRI), which is used to trace the self-organization of functional networks following changes in energy supply and demand. Arm 1 tests the impact of endogenous ketones produced by switching to a low carbohydrate diet, while Arm 2 tests the impact of exogenous ketones consumed as a nutritional supplement. For Arm 3, simultaneous magnetic resonance spectroscopy/positron-emission tomography (MR/PET) is used to quantify the impact of exogenous ketones on production of glutamate and GABA, key neurotransmitters.

Subjects will be given the option to participate in more than one of the Arms, but doing so is not expected nor required.

Prior to scans, subjects will receive a clinician-administered History and Physical (H\&P), which includes vital signs, an oral glucose tolerance test (OGTT), and the comprehensive metabolic blood panel. These will be used to assess diabetes, kidney disease, and electrolytes. If subjects pass screening, they will be provided the option to participate in one or more Arms, which include neuroimaging. To provide a quantitative measure of time-varying metabolic activity throughout the scan, based upon quantitative models of glucose and ketone regulation, as well as to be able to implement safety stopping rules (see below), the investigators will obtain pin-prick blood samples three times: prior to the scan, following consumption of the glucose or ketone drink, and following completion of the scan. To assess effects of increased metabolic demand, the investigators measure brain response to cognitive load, transitioning from resting-state to spatial reasoning through a spatial navigation video task. To assess effects of increased metabolic supply, the investigators measure brain response to glucose or ketone bolus.","Insulin Resistance, Healthy, Diet Modification, Aging"
metabolism,metabolism longevity,NCT00099138,CALERIE (Washington University): Comprehensive Assessment of Long-term Effects of Reducing Intake of Energy,COMPLETED,PHASE1,"This study is one of three CALERIE trials that test the hypothesis that a reduced calorie, nutritionally sound diet increases the length of life and prevents some age-related chronic diseases such as cancer, diabetes, and cardiovascular disease. The three sites that are participating in the CALERIE trial represent a diversity of subject populations and interventional strategies.",Aging
metabolism,metabolism longevity,NCT00823381,"Effect of Resvida, a Comparison With Calorie Restriction Regimen",COMPLETED,,"The purpose of this study is to compare the effects of the antioxidant ""resveratrol"" to a diet intervention (Calorie Restriction) to determine how each of them affects the following: gene expression profile, cholesterol (lipids), how well the hormone insulin works to control your blood sugar, and other blood and tissue markers of metabolic and cardiovascular health.

Resveratrol is found in grape skin, wine, peanuts, and mulberries and is thought to have health benefits such as improving fat metabolism, insulin action, and possibly extending lifespan. Resvida™ is the name for the dietary supplement containing the natural antioxidant ""resveratrol"". Resvida™ will be supplied by DSM Nutritional Products, Ltd.

Resvida™ is considered a dietary supplement, and therefore it is not an approved drug by the Food and Drug Administration (FDA). It is regulated like a food. The U.S. Food and Drug Administration does not strictly regulate herbs and dietary supplements. The makers of Resvida™ make no claim that this supplement is meant to treat any ailment.

Calorie restriction (CR) is a low calorie diet (about 30% fewer calories than the American Dietetic Association (ADA) recommends). Calorie restriction has also been linked to health benefits (enhanced cardiovascular and metabolic health) and an extended lifespan.

This study is designed to compare the health benefits of both resveratrol and CR and to determine if resveratrol mimics some of the health benefits shown with CR.","Obesity, Metabolic Syndrome, Diabetes, Aging"
metabolism,metabolism longevity,NCT06555978,Ageing BIOmarker Study in Singaporeans,ACTIVE_NOT_RECRUITING,,"The Ageing BIOmarker Study in Singaporeans (ABIOS) aims to understand the biological aging processes and how they affect health among people in Singapore. As people grow older, their risk of developing chronic diseases increases. This study aims to better understand the biological changes that come with age, particularly in three major ethnic groups: Chinese, Malay, and Indian adults over 21 years old. By examining a range of health indicators such as DNA methylation, inflammation, metabolism, cardiovascular health, physical function, and physical activity (i.e., molecular, physiological, and digital biomarkers of ageing), the study seeks to identify how ethnicity, lifestyle, and socioeconomic factors influence ageing. This unique study focuses on an all-Asian population, aiming to enhance our understanding of healthy aging across different ethnic groups.","Healthy Aging, Biological Aging, Lifestyle Factors"
epigenetic,epigenetic aging,NCT01397682,Epidemiological Observatory on the Health Conditions of Inpatients Aged 65 or Older at the INRCA Research Hospitals,UNKNOWN,,"The goal of this research study is to collect clinical data, comprehensive geriatric assessment, risk factors, biological data and blood samples from inpatients aged 65 and older at the INRCA research hospitals (Italy). All data will be stored in a research bank and used to better clarify the mechanisms underlying the condition of ""frailty"" in aged patients. The database will be created on the INRCA server platform by establishing a safe HTTPS protocol.","Aging, Inpatients"
epigenetic,epigenetic aging,NCT06065241,"Quantifiably Determine if the Botanical Formulation, LLP-01, Has a Significant Clinical Effect on Proteomic Inflammatory Biomarkers and Epigenetic Changes in Healthy, Older Individuals.",COMPLETED,,"This is a prospective, interventional, double-blinded placebo-controlled study of up to 40 participants to evaluate the effect of a botanical formulation on inflammatory biomarkers and epigenetic age.","Aging, Inflammation"
epigenetic,epigenetic aging,NCT05760547,The Translational Initiative to Map Epigenetics in Aging (TIME-A),NOT_YET_RECRUITING,,"The Translational Initiative to Map Epigenetics in Aging (TIME-A) study aims to advance our understanding of the connections between epigenetics, lifestyle, demographics, and health and aging.",Biological Aging
epigenetic,epigenetic aging,NCT07242833,Evaluation of the Effect of Seasonality on Biological Age in Adults,RECRUITING,,"This research aims to provide insights on how seasonal variations influence biological age and enhance the design and analysis of long-term lifestyle interventions targeting biological clocks.

Aging is a gradual decline in cellular and organ functions, significantly increasing the risk of non-communicable and infectious diseases. Recent research has focused on identifying aging biomarkers that can better predict functional capability in healthy individuals. Biological age clocks, which can be measured from samples like blood or saliva, are emerging as valuable tools for assessing the pace of aging and calculating age acceleration-the difference between chronological and biological age.

These clocks utilize molecular and clinical data, including DNA methylation and plasma proteomics, to predict future health outcomes, such as disease risk and mortality. Various DNA methylation-based clocks have been developed, with the Dunedin Pace of Aging (PoAm) offering a more precise modeling of physiological changes over time. Lifestyle factors, including diet and physical activity, can influence age acceleration, suggesting that lifestyle interventions may impact biological aging.

Current evidence indicates that three specific epigenetic clocks-PhenoAge, GrimAge, and Dunedin PACE-are particularly effective in detecting beneficial effects on aging trajectories. However, the stability of these clocks during long-term lifestyle interventions remains unclear, as they can exhibit variability over short periods and may be affected by factors influenced by seasonal changes, such as Vitamin D levels, climate, and white blood cells composition.

To investigate these seasonal effects on biological age, a proposed observational study will track changes over a 12-month period in middle-aged and older adults.","Aging, Aging, Biological, Aging, Healthy, BIOLOGICAL CLOCKS, Biological Clock Disturbance"
epigenetic,epigenetic aging,NCT06534450,The Effects Of Therapeutic Plasma Exchange (TPE) On Age Related Biomarkers And Epigenetics,ACTIVE_NOT_RECRUITING,PHASE3,The goal of this clinical trial is to assure the safety of long term therapeutic plasma exchange (TPE) with and without Intravenous Immunoglobulin (IVIG) and its effects on biomarkers and epigenetic biologic clocks in forty individuals. The main question is to assure the safety from long term TPE using changes in clinical and laboratory outcomes and also evaluating changes on additional blood biomarkers and epigenetic clocks during and after TPE treatment. Researchers will compare the TPE treatment group to the Sham treatment group to identify changes due to TPE. Participants will receive six TPE or Sham treatments over one of two treatment schedules and may receive IVIG with treatment.,Aging
epigenetic,epigenetic aging,NCT06295354,Early Variations in Immune Aging,TERMINATED,,"Background:

Despite an increase in lifespan over the last decades, our healthspan lags behind. In our aging population, it is pressing that we prevent age-related morbidities and associated burden on the health care system. Instead of investigating aging in already aged populations, the currently proposed study aims to elucidate the process of immune aging in relation to biological aging, demographic and lifestyle factors in young and midlife adults, and to identify early biomarkers and pathways associated with fast versus slow immune aging and aging endotypes.

Study design:

A single-center, observational prospective cohort study in the Netherlands. Participants from priorly established cohorts will be invited to join the EVIA-study. We will obtain demographic and basic clinical data and biological samples (blood and stool) at baseline and after three years, with a short, yearly online questionnaire in between.","Aging, Aging Well, Immuno Aging"
epigenetic,epigenetic aging,NCT04946383,Safety and Effectivness of Quercetin & Dasatinib on Epigenetic Aging,UNKNOWN,PHASE2,"Assessing the effects of Quercitin and Dasatinib over a 16 week period on participatns' epigenetic biological aging. The patients are being tested at baseline, halfway point, and after the trial period.",Aging
epigenetic,epigenetic aging,NCT05706389,Does Alpha-ketoglutarate Supplementation Lower BiologicaL agE in Middle- Aged Adults?,UNKNOWN,PHASE2,"Geroscience is an emerging interdisciplinary field of study in gerontological sciences. With emphasis on understanding the mechanistic drivers of aging, it seeks translational approaches that could eventually be applied to improve human healthspan and delay age-associated chronic diseases. Contrary to popular opinion that aging is irreversible, advances in geroscience research have demonstrated that aging is modifiable and inhibiting or activating specific molecular pathways can improve healthspan and extend lifespan in model organisms. Advocates of geroscience take the view that age-related chronic diseases are best treated by slowing the aging process, rather than using the prevailing disease-centric approach of addressing each disease alone. Thus, the concept is that biological aging, rather than chronological aging, is amenable to intervention.

In this regard, geroscientists are at the forefront of longevity medicine in rigorously testing novel supplements, drugs and other prophylactics that can enhance healthspan. Some of these interventions involve repurposing existing drugs such as rapamycin, a well-known immunosuppressant, at different dosing regimens to specifically target biological hallmarks of aging.

This study will investigate the effects of alpha-ketoglutarate (AKG), an endogenous metabolite, on biomarkers of aging in middle-aged residents of Singapore.",Aging
epigenetic,epigenetic aging,NCT05593939,Slow Age: Interventions to Slow Aging in Humans,COMPLETED,PHASE2,"The proportion of older individuals is growing, and it is therefore important to investigate ways to promote healthy aging. Exercise is one of the most studied interventions and is known to have a variety of health benefits. Dietary interventions have also shown encouraging results, with intermittent fasting being a promising anti-aging intervention. Likewise, dietary supplementation with precursors that can increase the central metabolite nicotinamide dinucleotide (NAD+) has powerful effects on aging at least in model organisms. Although physical exercise is known to increase health-span, the effects of these latter dietary interventions on aging lacks evidence in humans.

This is a randomized, controlled trial of interventions to slow aging in humans. Healthy older individuals will be randomized into either an aerobic exercise (EXE), time-restricted feeding (TRF), nicotinamide riboside (NR), or control group and followed for twelve weeks. Changes in biomarkers of aging will be assessed before and after the intervention. It is hypothesized that the interventions provide similar, superior benefits to these markers when compared to placebo.

Primary Outcome: Interleukin-6 levels. Secondary Outcomes: CRP, TNF-α, NAD+, hematologic age, epigenetic age (DNA methylation), transcriptomic age (RNA-sequencing), functional age (handgrip strength, gait speed), body composition, vocal age, and photo age",Aging
epigenetic,epigenetic aging,NCT03353597,Reversing Epigenetic & Other Markers of Senescence by Transfusing Young Plasma To Older Human Subjects,UNKNOWN,"PHASE1, PHASE2","This trial is designed to study the effects of monthly transfusions of young healthy male donor plasma on biological age as assessed by DNA methylation levels, and changes in cognitive, renal, and pulmonary function, muscle strength, telomere length, testosterone, estrogen, DHEAS, IGF-1, high resolution C-Reactive protein, and expression of P16INK4a in peripheral blood T lymphocytes and skin biopsies.",Aging
epigenetic,epigenetic aging,NCT01993082,"Fitness, Cellular Aging, and Caregiver Stress Study",COMPLETED,,"The purpose of this study is to determine whether an aerobic training intervention will alter markers of immune cell aging, improve exercise capacity and blood pressure and decrease psychological distress over 24 weeks in 32 caregivers compared to 32 age-matched wait list control caregivers.","Aging, Stress, Disease Risk"
epigenetic,epigenetic aging,NCT05203848,Community Dance Program (CDP) for Older Adults,COMPLETED,,"Objectives:

The primary objective of the proposed project is to develop and evaluate a Community Dance Program (CDP) for community-dwelling older adults, which is aimed at promoting physical strength, balance, cognition, mental and psycho-social well-being of the older adults. A distinctive feature of our project is that a team of researchers across disciplines and community partners will collaborate to develop the program and bring benefits to the older adults living in the community.",Healthy Aging
epigenetic,epigenetic longevity,NCT06145087,Effects of a Supplement to Target Ageing Mechanisms on Vascular Function (STAMINA),UNKNOWN,,"In the ageing society, extending the healthy lifespan is a major challenge and a healthy diet may play an import role in maintaining health throughout life. With increasing age cardiovascular function declines and large and small blood vessels change in various and complex ways and these changes may lead to many age-related diseases. On a molecular level, there are many mechanisms that are associated with ageing including cellular senescence, loss of proteostasis, altered cellular communication, genomic instability, epigenetic alterations, telomere shortening, deregulated nutrient sensing, stem cell exhaustion and protein crosslinking. Animal and human studies suggest that dietary supplements may be able to affect these mechanisms. What the effect of the NOVOS Core supplement is on cardiovascular functions is not known.

The aim of the present study is to investigate the short and intermediate term effects of a supplement mix designed to target ageing mechanism on vascular function in healthy middle-aged subjects. (STAMINA Study) The hypothesis is that the supplement will lead to acute and sustained changes in biomarkers of vascular function and health.

60 healthy middle-aged people will be recruited and randomly assigned to either daily intake of the NOVOS Core supplement (n=30) or placebo (n=30) for up to 6 months (3-6). The supplement (NOVOS Core) is a commercially available product and has 12 ingredients. It was developed and is provided together with the placebo by AgeLess Sciences LLC, a Public Benefit Corporation. The study will require 2 visits by participants during which non-invasive vascular exams will be performed, venous blood taken and spot urine sample collected. The primary endpoint is change in flow-mediated dilation, secondary endpoints are change in blood pressure, cholesterol, arterial stiffness, microvascular function cardiovascular risk SCORE and daily walking distance. Tertiary endpoints are changes in biomarkers of ageing as assessed in blood samples including DNA damage. In addition, we will assess anxiety, depressive feelings, happiness, well-being and the diet with several questionnaires. Measurements will be taken on the first day before and 2 hours after ingestion of the first supplement or placebo. Participants will consume the supplement or placebo for 6 months and vascular exams and one blood draw will be repeated during the final visit. During the time, participants will receive 2 phone calls to improve compliance.","Healthy Aging, Vascular Dilation"
epigenetic,epigenetic longevity,NCT05262036,The Effects of a Longevity Supplement on Aging and Photoaging,UNKNOWN,,"This study evaluates the use of an oral supplement to see if it can shift the function of the skin and the appearance of fine lines and wrinkles, its impact on biomarkers associated with aging, and its impact on mental health.",Photoaging
epigenetic,epigenetic longevity,NCT00242255,Epigenetics in the Aging Process,COMPLETED,,"This study will examine the role of epigenetics (heritable changes in gene function that occur without a change in DNA sequence) in the aging process. DNA is the primary genetic material, responsible for transmitting information from one cell to the next or from one generation to the next. A second layer of heredity is described by the term ""epigenetics.""

Epigenetic information is reset from one generation to the next. It works in two ways: 1) by modification of the DNA, like balloons stuck at irregular intervals onto the sides of the DNA helix that encodes genes, and 2) through specialized protein shells that wrap around some regions of DNA. As in DNA, these shells can copy themselves and can transmit instructions. Because they are used to turn genes on and off, errors in their settings cause critical misinformation to be transmitted.

Aging involves many changes, such as muscle weakening, graying hair, skin wrinkling, and so forth. There are several current theories of aging, including damage to genes by oxidation, shortening of tiny structures at the ends of chromosomes called telomeres, and the ability to stretch lifespan with caloric restrictions. This study will investigate the possible role of epigenetics in aging by examining and comparing the shell-like epigenetic settings in skin cells in young adults and older individuals. Preliminary results from earlier studies show differences in these settings in younger and older people.

Women between the ages of 21 and 30 years and 65 and 90 years who are undergoing breast reduction or mastectomy at Suburban Hospital in Bethesda, Maryland, may participate in this study. Tissue removed during surgery for pathological examination will also be used by researchers in this study to validate the preliminary findings noted above and to continue studies into the new area of epigenetics and aging.

...",Aging
epigenetic,epigenetic longevity,NCT07255300,Follow up Study of Varapodio Trial: Effect of Longevity and Fasting Mimicking Diet on Risk Factors Age Correlated and Biomarkers of Aging,RECRUITING,,"A large ongoing randomized, open-label trial aimed at evaluating the effects of two different dietary interventions, FMD and LD, on body composition and cardiovascular (CV) biomarkers in a real word population (NCT05698654) is actually ongoing. This trial started in January 2024 will enrol 501 adult subjects between the ages of 30 and 65: 167 subjects randomized to the FMD arm with a 5-day meal program once every three months for a 6-month period (arm 1); 167 subjects randomized to follow the FMD plus a Longevity Diet program (FMD+LD) for a 6-month period (arm 2); 167 randomized to the control group (arm 3) that will continue their usual diet. On 2024,410, participants were enrolled and randomly assigned to FMD, FMD + LD, or control arm. Although preliminary data demonstrated the beneficial effects of such nutritional plans on body weight, BMI, body composition, and cardiovascular (CV) biomarkers, limited data is available on the long-term effects of these powerful nutritional interventions.","Fat Mass, Risk Factors Cardiovascular Disease, Epigenetic Aging, Metabolism Changes, Overweight (BMI &gt; 25), Risk Behavior, Obesity (Disorder)"
epigenetic,epigenetic longevity,NCT06613542,Effects Of Daily Taurine Intake For 6 Months On Biological Age and Body Metabolism Indicators As Well As Physical Fitness In 55-75-year-old Women And Men,COMPLETED,,"The goal of this clinical trial is to investigate the effect of taking 4 grams of taurine by older adults on aging processes over a period of 6 months. It will also check for effects of taurine on participant's physical fitness, metabolic and cognitive functions. The main question it aims to answer is:

• Does a supplementation with 4 g of taurine daily over a period of 6 months slow down biological aging in humans? Researchers will compare supplementation with taurine to a placebo (a look-alike substance that contains no drug) to reliably determine whether taurine has an effect.

Participants will:

* Take 4g of taurine or a placebo every day for 6 months
* Visit the study site 4 times for checkups and tests: for a screening visit, at the beginning of the intervention, after 8 and 24 weeks","Taurine, Aging, Biological, Physical Activity, Metabolic Health, Anti-Aging, Longevity, Dietary Supplement, DNA Methylation, Sport"
epigenetic,epigenetic longevity,NCT05296993,Safety & Efficacy of Extended Longevity Protocol,UNKNOWN,PHASE2,The purpose of this study is to quantifiably determine if the Extended Longevity Protocol has a significant clinical effect on epigenetic age.,Aging
clocks,clocks aging,NCT04225442,"The Physiological Chronobiome Modified by Age, Sex and Under Evoked Conditions",ACTIVE_NOT_RECRUITING,,"The investigators piloted the characterization of the human chronobiome. Now, this line of research is extended to explore physiological chronobiome modulated by sex, age and under evoked conditions.","Healthy, Healthy Aging"
clocks,clocks aging,NCT06511297,Metabolic Control of Aging and Disease - the MetAGE Deep Phenotyping Cohort,RECRUITING,,"The goal of this prospective observational study is to identify and validate blood based aging biomarkers in relation to cardiometabolic phenotypes of young and old, female and male subjects with or without obesity.

The main question is to gain insights into the interaction of obesity related metabolic alteration and aging, and the relevance of loss of metabolic control in the development of age-related diseases in order to build a foundation for targeted drug- and lifestyle interventions in future studies.","Obesity, Aging, Aging Problems, Metabolic Syndrome"
